title,thumbnailUrl,contentUrl,place,castigList,url,startDate,endDate,End_date,artist1,artist2,artist3,artist4,artist5,artist6,artist7,artist8,artist9,artist10,artist11,artist12,artist13,artist14,artist15,artist16,artist17,artist18,artist19,artist20,artist21,artist22,artist23,artist24,artist25,artist26,genre,location
SG워너비 콘서트 : 우리의 노래 2024 앙코르,http://ticketimage.interpark.com/Play/image/large/24/24006691_p.gif,https://ticketimage.interpark.com/Play/image/etc/24/24006691-03.jpg,KSPO DOME (올림픽체조경기장)(자세히),SG워너비,https://tickets.interpark.com/goods/24006691,2024.07.20,2024.07.21,2024-07-21,SG워너비,,,,,,,,,,,,,,,,,,,,,,,,,,댄스,전라
2024 수아레콘서트 - 김태우와 하고 싶은 말,http://ticketimage.interpark.com/Play/image/large/24/24008910_p.gif,"https:https://ticketimage.interpark.com/Play/ITM/Data/Modify/2024/6/2024062413420581.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24008910-03.jpg",성남아트센터 오페라하우스(자세히),,https://tickets.interpark.com/goods/24008910,2024.07.19,2024.07.19,2024-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,내한,경남
2024 인천펜타포트 락 페스티벌 X KB국민카드 스타샵,http://ticketimage.interpark.com/Play/image/large/24/24005722_p.gif,"https://ticketimage.interpark.com/Play/image/etc/24/24005722-12.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24005722-11.jpg",송도달빛축제공원(자세히),"이상은, 검엑스, 아마도이자람밴드, 브로콜리 너마저, 구남과여라이딩스텔라, 브로큰 발렌타인, 토, 추다혜, 글렌체크, 선우정아, 램넌츠오브더폴른, 라이드, 잔나비, 데이식스, 새소년, 세이수미, 라쿠나, 실리카겔, 이승윤, 더 픽스, 카디, 웨이브투어스, 터치드, 리도어, 한로로",https://tickets.interpark.com/goods/24005722,2024.08.02,2024.08.04,2024-08-04,이상은,검엑스,아마도이자람밴드,브로콜리 너마저,구남과여라이딩스텔라,브로큰 발렌타인,토,추다혜,글렌체크,선우정아,램넌츠오브더폴른,라이드,잔나비,데이식스,새소년,세이수미,라쿠나,실리카겔,이승윤,더 픽스,카디,웨이브투어스,터치드,리도어,한로로,,힙합,경남
노엘 갤러거 하이 플라잉 버즈,http://ticketimage.interpark.com/Play/image/large/24/24003561_p.gif,https://ticketimage.interpark.com/Play/image/etc/24/24003561-01.jpg,"일산 킨텍스 제1전시장 1, 2홀(자세히)",노엘 갤러거,https://tickets.interpark.com/goods/24003561,2024.07.26,2024.07.26,2024-07-26,노엘 갤러거,,,,,,,,,,,,,,,,,,,,,,,,,,힙합,전라
싸이흠뻑쇼 SUMMERSWAG2024 - 속초,http://ticketimage.interpark.com/Play/image/large/24/24007319_p.gif,"https://ticketimage.interpark.com/Play/image/etc/24/24007319-08.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24007402-08.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24007319-09.jpg",속초종합경기장(자세히),,https://tickets.interpark.com/goods/24007319,2024.08.03,2024.08.03,2024-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,댄스,충청
2024 ROUND in Korea - 부산,http://ticketimage.interpark.com/Play/image/large/24/24006581_p.gif,"https://ticketimage.interpark.com/Play/image/etc/24/24006581-09.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24006581-08.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24006581-03.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24006581-06.jpg",부산KBS홀(자세히),"넬, 김윤아, 너드커넥션, 터치드",https://tickets.interpark.com/goods/24006581,2024.07.06,2024.07.07,2024-07-07,넬,김윤아,너드커넥션,터치드,,,,,,,,,,,,,,,,,,,,,,,발라드,강원
［2024 Theatre 이문세］ - 진주,http://ticketimage.interpark.com/Play/image/large/24/24008697_p.gif,"https://ticketimage.interpark.com/240086972024/06/18/c4c45e66.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24008697-01.jpg",경남문화예술회관 대공연장(자세히),,https://tickets.interpark.com/goods/24008697,2024.09.21,2024.09.22,2024-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,트로트,대전
2024 현역가왕 전국투어 콘서트 - 강릉,http://ticketimage.interpark.com/Play/image/large/24/24008541_p.gif,https://ticketimage.interpark.com/Play/image/etc/24/24008541-01.jpg,가톨릭관동대학교 세바스티아노스포츠센터(자세히),,https://tickets.interpark.com/goods/24008541,2024.08.24,2024.08.24,2024-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,락,경기
싸이흠뻑쇼 SUMMERSWAG2024 - 과천,http://ticketimage.interpark.com/Play/image/large/24/24007166_p.gif,"https://ticketimage.interpark.com/Play/image/etc/24/24007166-06.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24007166-04.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24007166-07.jpg",서울대공원 주차광장(자세히),싸이,https://tickets.interpark.com/goods/24007166,2024.07.20,2024.07.21,2024-07-21,싸이,,,,,,,,,,,,,,,,,,,,,,,,,,내한,인천
10CM 1st Fan Concert 〈10CM YOU〉,http://ticketimage.interpark.com/Play/image/large/24/24008197_p.gif,https://ticketimage.interpark.com/Play/image/etc/24/24008197-03.jpg,올림픽공원 올림픽홀(자세히),10cm,https://tickets.interpark.com/goods/24008197,2024.07.06,2024.07.07,2024-07-07,10cm,,,,,,,,,,,,,,,,,,,,,,,,,,그 외,제주
2024 김창옥 토크콘서트 시즌4 - 진주,http://ticketimage.interpark.com/Play/image/large/24/24008771_p.gif,"https:https://ticketimage.interpark.com/Play/ITM/Data/Detail/2024/6/2024061415204520.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24008771-05.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24008771-06.jpg",경상국립대학교 GNU컨벤션센터 대강당(자세히),,https://tickets.interpark.com/goods/24008771,2024.08.18,2024.08.18,2024-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,댄스,전라
2024 김창옥토크콘서트 시즌4 - 창원,http://ticketimage.interpark.com/Play/image/large/24/24009156_p.gif,"https://ticketimage.interpark.com/Play/image/etc/24/24009156-01.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24009156-02.jpg",창원 성산아트홀 대극장(자세히),김창옥,https://tickets.interpark.com/goods/24009156,2024.07.28,2024.07.28,2024-07-28,김창옥,,,,,,,,,,,,,,,,,,,,,,,,,,그 외,부산
DPR SEOUL CONCERT 2024 ［The Dream Reborn Tour］,http://ticketimage.interpark.com/Play/image/large/24/24007989_p.gif,https://ticketimage.interpark.com/Play/image/etc/24/24007989-02.jpg,올림픽공원 올림픽홀(자세히),,https://tickets.interpark.com/goods/24007989,2024.07.13,2024.07.14,2024-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,내한,경북
2024 CassCool Festival,http://ticketimage.interpark.com/Play/image/large/24/24008445_p.gif,"https://ticketimage.interpark.com/Play/image/etc/24/24008445-04.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24008445-02.jpg",서울랜드(자세히),,https://tickets.interpark.com/goods/24008445,2024.08.24,2024.08.24,2024-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,락,제주
2024 윤하 소극장 콘서트 ［潤夏］,http://ticketimage.interpark.com/Play/image/large/24/24007846_p.gif,https://ticketimage.interpark.com/Play/image/etc/24/24007846-01.jpg,블루스퀘어 마스터카드홀(자세히),,https://tickets.interpark.com/goods/24007846,2024.07.03,2024.07.14,2024-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,힙합,대구
Soundberry Festa’ 24,http://ticketimage.interpark.com/Play/image/large/24/24008188_p.gif,"https://ticketimage.interpark.com/Play/image/etc/24/24008188-09.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24008188-10.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24008188-11.jpg",KBS아레나 일대(자세히),"다섯, 윤마치, 씨엔블루, 원위, 장기하, 죠지, 한요한, 아일, 오월오일, 키드밀리, FT아일랜드, 소수빈, 로이킴, 엔플라잉, 정준일, 최유리, 폴킴, 후이, 92914, 신지훈, 카더가든",https://tickets.interpark.com/goods/24008188,2024.07.20,2024.07.21,2024-07-21,다섯,윤마치,씨엔블루,원위,장기하,죠지,한요한,아일,오월오일,키드밀리,FT아일랜드,소수빈,로이킴,엔플라잉,정준일,최유리,폴킴,후이,92914,신지훈,카더가든,,,,,,발라드,제주
2024 서인국 팬미팅 ‘Heart Cream’,http://ticketimage.interpark.com/Play/image/large/24/24008047_p.gif,https://ticketimage.interpark.com/Play/image/etc/24/24008047-03.jpg,명화라이브홀(자세히),서인국,https://tickets.interpark.com/goods/24008047,2024.07.06,2024.07.06,2024-07-06,서인국,,,,,,,,,,,,,,,,,,,,,,,,,,발라드,대전
동구문화체육센터 이은미X민경인트리오 〈SUMMER FESTA〉 - 인천,http://ticketimage.interpark.com/Play/image/large/24/24009092_p.gif,"https://ticketimage.interpark.com/240090922024/06/26/b07d85da.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24009092-01.jpg",동구문화체육센터 공연장(자세히),"이은미, 한웅원, 민경인, 최진배",https://tickets.interpark.com/goods/24009092,2024.08.03,2024.08.03,2024-08-03,이은미,한웅원,민경인,최진배,,,,,,,,,,,,,,,,,,,,,,,힙합,경기
FANTASY BOYS 1ST FANMEETING ［Summer in the Fantasy］,http://ticketimage.interpark.com/Play/image/large/24/24008468_p.gif,https://ticketimage.interpark.com/Play/image/etc/24/24008468-03.jpg,블루스퀘어 마스터카드홀(자세히),,https://tickets.interpark.com/goods/24008468,2024.07.27,2024.07.27,2024-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,락,세종
트롯걸즈재팬 1st 팬미팅 “The Beginning”,http://ticketimage.interpark.com/Play/image/large/24/24008539_p.gif,https://ticketimage.interpark.com/Play/image/etc/24/24008539-05.jpg,무신사 개러지(자세히),,https://tickets.interpark.com/goods/24008539,2024.07.06,2024.07.07,2024-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,댄스,광주
2024 김창옥 토크콘서트 시즌4 - 강릉,http://ticketimage.interpark.com/Play/image/large/24/24009071_p.gif,"https://ticketimage.interpark.com/Play/image/etc/24/24009071-01.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24009071-02.jpg",강릉아트센터 사임당홀(자세히),김창옥,https://tickets.interpark.com/goods/24009071,2024.08.04,2024.08.04,2024-08-04,김창옥,,,,,,,,,,,,,,,,,,,,,,,,,,힙합,부산
〈미스트롯3〉 전국투어 콘서트 - 천안,http://ticketimage.interpark.com/Play/image/large/24/24008696_p.gif,https://ticketimage.interpark.com/Play/image/etc/24/24008696-01.jpg,천안예술의전당 대공연장(자세히),,https://tickets.interpark.com/goods/24008696,2024.08.17,2024.08.17,2024-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,발라드,부산
"2024 김범수 콘서트 〈여행, The Original〉 수원",http://ticketimage.interpark.com/Play/image/large/24/24002093_p.gif,https://ticketimage.interpark.com/Play/image/etc/24/24002093-07.jpg,경기아트센터 대극장(자세히),김범수,https://tickets.interpark.com/goods/24002093,2024.09.07,2024.09.07,2024-09-07,김범수,,,,,,,,,,,,,,,,,,,,,,,,,,발라드,광주
20TH ANNIVERSARY 2024 KIM JAE JOONG ASIA TOUR CONCERT ＂FLOWER GARDEN＂ in SEOUL,http://ticketimage.interpark.com/Play/image/large/24/24008304_p.gif,"https:https://ticketimage.interpark.com/Play/ITM/Data/Modify/2024/6/2024061016583117.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24008304-03.jpg",장충체육관(자세히),김재중,https://tickets.interpark.com/goods/24008304,2024.07.20,2024.07.21,2024-07-21,김재중,,,,,,,,,,,,,,,,,,,,,,,,,,트로트,강원
"박주원, 최항석의 “Sweet amore, Sweet my life”",http://ticketimage.interpark.com/Play/image/large/24/24009052_p.gif,https://ticketimage.interpark.com/Play/image/etc/24/24009052-02.jpg,노들섬 라이브하우스(자세히),,https://tickets.interpark.com/goods/24009052,2024.07.19,2024.07.19,2024-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,그 외,제주
2024 임한별의 별(別) 전국투어 콘서트 〈시작〉 in 전주,http://ticketimage.interpark.com/Play/image/large/24/24007398_p.gif,"https:https://ticketimage.interpark.com/Play/ITM/Data/Modify/2024/6/2024062716521202.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24007398-03.jpg",한국소리문화의전당 모악당(자세히),임한별,https://tickets.interpark.com/goods/24007398,2024.08.03,2024.08.04,2024-08-04,임한별,,,,,,,,,,,,,,,,,,,,,,,,,,힙합,충청
올리비아 로드리고 첫 내한공연,http://ticketimage.interpark.com/Play/image/large/24/24006714_p.gif,https://ticketimage.interpark.com/Play/image/etc/24/24006714-03.jpg,잠실 실내체육관(자세히),,https://tickets.interpark.com/goods/24006714,2024.09.20,2024.09.21,2024-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,락,강원
"2024 김범수 콘서트 〈여행, The Original〉 창원",http://ticketimage.interpark.com/Play/image/large/24/24008884_p.gif,https://ticketimage.interpark.com/Play/image/etc/24/24008884-03.jpg,창원 성산아트홀 대극장(자세히),김범수,https://tickets.interpark.com/goods/24008884,2024.09.28,2024.09.28,2024-09-28,김범수,,,,,,,,,,,,,,,,,,,,,,,,,,발라드,춘천
"［2024 구로 스테이지］TO. X (양다일, 디에이드)",http://ticketimage.interpark.com/Play/image/large/24/24007721_p.gif,https://ticketimage.interpark.com/Play/image/etc/24/24007721-02.jpg,구로아트밸리 예술극장(자세히),,https://tickets.interpark.com/goods/24007721,2024.07.20,2024.07.20,2024-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,트로트,경남
［네덜란드밴드］ Sam Ghezzi Band 내한공연,http://ticketimage.interpark.com/Play/image/large/24/24009164_p.gif,"https://ticketimage.interpark.com/Play/image/etc/24/24009164-01.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24009164-02.jpg",재즈클럽 그루브(자세히),,https://tickets.interpark.com/goods/24009164,2024.07.18,2024.07.18,2024-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,내한,광주
［문래재즈IN＃연중기획］ 진영환 퀸텟,http://ticketimage.interpark.com/Play/image/large/24/24009181_p.gif,https://ticketimage.interpark.com/Play/image/etc/24/24009181-01.jpg,라이브홀 문래재즈IN(자세히),,https://tickets.interpark.com/goods/24009181,2024.07.13,2024.07.13,2024-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,그 외,세종
［서울］ 보일러룸 서울 2024,http://ticketimage.interpark.com/Play/image/large/24/24006923_p.gif,https://ticketimage.interpark.com/Play/image/etc/24/24006923-02.jpg,에스팩토리 D동(자세히),,https://tickets.interpark.com/goods/24006923,2024.07.27,2024.07.27,2024-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,힙합,부산
［캠핑권］ 2024 인천펜타포트 락 페스티벌 X KB국민카드 스타샵,http://ticketimage.interpark.com/Play/image/large/24/24007967_p.gif,https://ticketimage.interpark.com/Play/image/etc/24/24007967-01.jpg,송도달빛축제공원(자세히),,https://tickets.interpark.com/goods/24007967,2024.08.02,2024.08.04,2024-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,트로트,세종
［Play＆Stay］ 2024 SVT 8TH FAN MEETING 〈SEVENTEEN in CARAT LAND〉 ＋ 서울 시내 호텔,http://ticketimage.interpark.com/Play/image/large/24/24008319_p.gif,"https://ticketimage.interpark.com/Play/image/etc/24/24008319-22.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24008319-12.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24008319-13.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24008319-14.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24008319-15.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24008319-21.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24008319-16.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24008319-17.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24008319-18.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24008319-19.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24008319-10.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24008319-11.jpg",고척스카이돔(자세히),,https://tickets.interpark.com/goods/24008319,2024.07.23,2024.07.24,2024-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,발라드,부산
〈 김태균 SHOW 〉 - 대구,http://ticketimage.interpark.com/Play/image/large/24/24008616_p.gif,https://ticketimage.interpark.com/Play/image/etc/24/24008616-01.jpg,대구 엑스코 오디토리움(자세히),,https://tickets.interpark.com/goods/24008616,2024.10.12,2024.10.12,2024-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,트로트,속초
〈 김태균 SHOW 〉 - 부산,http://ticketimage.interpark.com/Play/image/large/24/24008580_p.gif,https://ticketimage.interpark.com/Play/image/etc/24/24008580-01.jpg,부산KBS홀(자세히),김태균,https://tickets.interpark.com/goods/24008580,2024.10.05,2024.10.05,2024-10-05,김태균,,,,,,,,,,,,,,,,,,,,,,,,,,힙합,춘천
〈 EUNOIA 〉 크로스오버 콘서트 in 김광석 - 부산,http://ticketimage.interpark.com/Play/image/large/24/24008867_p.gif,https://ticketimage.interpark.com/Play/image/etc/24/24008867-01.jpg,소향씨어터 신한카드홀(자세히),,https://tickets.interpark.com/goods/24008867,2024.08.18,2024.08.18,2024-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,내한,경기
〈 EUNOIA 〉 크로스오버 콘서트 in 퀸 - 대구,http://ticketimage.interpark.com/Play/image/large/24/24007341_p.gif,https://ticketimage.interpark.com/Play/image/etc/24/24007341-01.jpg,영남대학교 천마아트센터 그랜드홀(자세히),,https://tickets.interpark.com/goods/24007341,2024.07.20,2024.07.20,2024-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,댄스,부산
〈미스트롯3〉 전국투어 콘서트 - 광주,http://ticketimage.interpark.com/Play/image/large/24/24003268_p.gif,https://ticketimage.interpark.com/Play/image/etc/24/24003268-05.jpg,김대중컨벤션센터 다목적홀(자세히),,https://tickets.interpark.com/goods/24003268,2024.07.13,2024.07.14,2024-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,트로트,경북
〈미스트롯3〉 전국투어 콘서트 - 전주,http://ticketimage.interpark.com/Play/image/large/24/24008933_p.gif,https://ticketimage.interpark.com/Play/image/etc/24/24008933-02.jpg,한국소리문화의전당 모악당(자세히),,https://tickets.interpark.com/goods/24008933,2024.08.24,2024.08.24,2024-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,그 외,대전
〈미스트롯3〉 전국투어 콘서트 - 진주,http://ticketimage.interpark.com/Play/image/large/24/24008709_p.gif,https://ticketimage.interpark.com/Play/image/etc/24/24008709-01.jpg,경남문화예술회관 대공연장(자세히),,https://tickets.interpark.com/goods/24008709,2024.09.28,2024.09.28,2024-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,트로트,경남
〈미스트롯3〉 전국투어 콘서트－창원,http://ticketimage.interpark.com/Play/image/large/24/24003280_p.gif,https://ticketimage.interpark.com/Play/image/etc/24/24003280-07.jpg,KBS창원홀(자세히),,https://tickets.interpark.com/goods/24003280,2024.07.06,2024.07.07,2024-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,그 외,충청
〈미스트롯3〉 전국투어 콘서트－춘천,http://ticketimage.interpark.com/Play/image/large/24/24003221_p.gif,https://ticketimage.interpark.com/Play/image/etc/24/24003221-06.jpg,강원대학교 백령아트센터(자세히),,https://tickets.interpark.com/goods/24003221,2024.07.27,2024.07.27,2024-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,트로트,충청
〈옥주현 with Friends 뮤지컬 콘서트〉 - 수원,http://ticketimage.interpark.com/Play/image/large/24/24008790_p.gif,https://ticketimage.interpark.com/Play/image/etc/24/24008790-01.jpg,경기아트센터 대극장(자세히),옥주현,https://tickets.interpark.com/goods/24008790,2024.07.17,2024.07.17,2024-07-17,옥주현,,,,,,,,,,,,,,,,,,,,,,,,,,댄스,부산
〈재즈 콜렉티브－윤석철트리오〉－인천,http://ticketimage.interpark.com/TicketImage/main/common/mobile/noimage_vtc.jpg,https://i.namu.wiki/i/GFw2SMaGiqbS3yeTWO08FD5Df8LKk-xB2ckQ0MtDjdoryMCJtsDap9msW17NVgbTM4432kao4DkEGsgwhs_In0zw9vMOldvNbYoc-n1Ng4XgxBVZXNZz33WScPw6zCJY5XAVrdsAFGDx24HN_nu3oQ.webp,트라이보울(자세히),,https://tickets.interpark.com/goods/24009322,2024.07.31,2024.07.31,2024-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,발라드,대구
〈My Legendary Pops〉 in JEJU,http://ticketimage.interpark.com/Play/image/large/24/24009068_p.gif,https://i.namu.wiki/i/GFw2SMaGiqbS3yeTWO08FD5Df8LKk-xB2ckQ0MtDjdoryMCJtsDap9msW17NVgbTM4432kao4DkEGsgwhs_In0zw9vMOldvNbYoc-n1Ng4XgxBVZXNZz33WScPw6zCJY5XAVrdsAFGDx24HN_nu3oQ.webp,서귀포예술의전당(자세히),,https://tickets.interpark.com/goods/24009068,2024.07.21,2024.07.21,2024-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,락,경북
《어떤가요 #10》 추억의 댄스가수 특집,http://ticketimage.interpark.com/Play/image/large/24/24008344_p.gif,"https:https://ticketimage.interpark.com/Play/ITM/Data/Modify/2024/6/2024062713135512.jpg, https://ticketimage.interpark.com/Play/image/etc/24/24008344-03.jpg",마포아트센터 아트홀맥(자세히),"현진영, 한상일",https://tickets.interpark.com/goods/24008344,2024.08.30,2024.08.30,2024-08-30,현진영,한상일,,,,,,,,,,,,,,,,,,,,,,,,,힙합,춘천
【ONLINE】BLACKSTAR Theater Starless 「BLACK SONIC」 In Shinjuku,http://ticketimage.interpark.com/Play/image/large/24/24008334_p.gif,https://ticketimage.interpark.com/Play/image/etc/24/24008251-01.jpg,온라인,,https://tickets.interpark.com/goods/24008334,2024.08.25,2024.08.25,2024-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,댄스,경남
【ONLINE】BLACKSTAR Theater Starless 「BLACK SONIC」 In Yokohama＆ 4 Ticket Packages,http://ticketimage.interpark.com/Play/image/large/24/24008251_p.gif,https://ticketimage.interpark.com/Play/image/etc/24/24008251-01.jpg,온라인,,https://tickets.interpark.com/goods/24008251,2024.07.21,2024.08.25,2024-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,댄스,춘천
